id_cliente,genero_cliente,tipo_cliente
C00361,Mujer,Turista
C00362,Mujer,Turista
C00364,Hombre,Local
C00365,Mujer,Local
C00366,Hombre,Local
C00367,Hombre,Local
C00369,Mujer,Local
C00372,Hombre,Local
C00374,Mujer,Local
C00375,Hombre,Local
C00376,Hombre,Local
C00377,Hombre,Turista
C00378,Mujer,Local
C00379,Mujer,Turista
C00380,Hombre,Local
C00382,Hombre,Local
C00383,Hombre,Local
C00384,Hombre,Local
C00385,Hombre,Turista
C00386,Mujer,Local
C00387,Mujer,Local
C00388,Mujer,Turista
C00389,Hombre,Local
C00390,Mujer,Turista
C00391,Hombre,Local
C00392,Mujer,Local
C00393,Mujer,Local
C00394,Hombre,Local
C00395,Hombre,Local
C00397,Hombre,Local
C00399,Mujer,Local
C00400,Mujer,Local
C00401,Hombre,Local
C00402,Hombre,Local
C00405,Hombre,Local
C00406,Mujer,Local
C00408,Hombre,Local
C00409,Hombre,Local
C00410,Hombre,Local
C00412,Mujer,Local
C00413,Hombre,Local
C00414,Hombre,Local
C00415,Mujer,Local
C00416,Mujer,Local
C00417,Mujer,Turista
C00418,Mujer,Local
C00419,Mujer,Turista
C00420,Mujer,Local
C00421,Hombre,Local
C00422,Hombre,Local
C00423,Hombre,Local
C00425,Hombre,Local
C00426,Hombre,Local
C00427,Hombre,Local
C00429,Mujer,Turista
C00430,Hombre,Local
C00433,Hombre,Local
C00434,Mujer,Local
C00435,Hombre,Local
C00437,Hombre,Local
C00438,Mujer,Local
C00440,Hombre,Local
C00442,Mujer,Turista
C00443,Mujer,Local
C00444,Hombre,Local
C00445,Hombre,Turista
C00446,Hombre,Turista
C00447,Hombre,Local
C00448,Hombre,Local
C00449,Mujer,Local
C00451,Hombre,Local
C00452,Mujer,Local
C00453,Hombre,Turista
C00454,Mujer,Local
C00455,Mujer,Turista
C00457,Hombre,Local
C00459,Mujer,Local
C00460,Mujer,Local
C00462,Hombre,Local
C00463,Hombre,Local
C00464,Mujer,Local
C00465,Mujer,Local
C00466,Hombre,Local
C00468,Hombre,Local
C00469,Hombre,Local
C00470,Hombre,Local
C00471,Hombre,Local
C00472,Hombre,Turista
C00473,Hombre,Local
C00474,Hombre,Local
C00475,Hombre,Local
C00476,Mujer,Local
C00477,Mujer,Local
C00478,Hombre,Turista
C00481,Hombre,Local
C00482,Hombre,Turista
C00485,Hombre,Local
C00487,Mujer,Local
C00488,Hombre,Local
C00489,Hombre,Local
C00490,Hombre,Local
C00491,Mujer,Local
C00492,Mujer,Local
C00493,Hombre,Local
C00495,Hombre,Local
C00496,Mujer,Local
C00498,Hombre,Local
C00501,Hombre,Local
C00502,Hombre,Local
C00503,Hombre,Local
C00504,Mujer,Turista
C00506,Hombre,Local
C00507,Hombre,Local
C00508,Hombre,Local
C00509,Hombre,Local
C00512,Mujer,Local
C00513,Mujer,Local
C00514,Mujer,Local
C00515,Mujer,Local
C00516,Hombre,Local
C00517,Mujer,Local
C00518,Mujer,Local
C00519,Mujer,Local
C00520,Mujer,Local
C00522,Hombre,Local
C00524,Mujer,Local
C00528,Hombre,Local
C00530,Hombre,Local
C00531,Mujer,Local
C00532,Mujer,Local
C00533,Hombre,Local
C00534,Hombre,Local
C00536,Mujer,Local
C00537,Mujer,Local
C00538,Mujer,Local
C00539,Hombre,Local
C00541,Hombre,Local
C00542,Hombre,Turista
C00543,Hombre,Local
C00544,Hombre,Local
C00545,Hombre,Local
C00546,Mujer,Local
C00547,Hombre,Local
C00548,Hombre,Local
C00549,Mujer,Local
C00550,Mujer,Local
C00551,Hombre,Local
C00552,Hombre,Turista
C00555,Hombre,Local
C00556,Mujer,Local
C00557,Hombre,Local
C00560,Mujer,Local
C00561,Hombre,Local
C00562,Mujer,Local
C00563,Hombre,Local
C00564,Mujer,Turista
C00565,Hombre,Local
C00566,Mujer,Local
C00567,Hombre,Turista
C00568,Mujer,Local
C00569,Hombre,Local
C00571,Hombre,Local
C00572,Hombre,Turista
C00573,Mujer,Local
C00574,Hombre,Local
C00575,Hombre,Local
C00576,Hombre,Local
C00577,Hombre,Local
C00578,Mujer,Local
C00579,Mujer,Local
C00580,Mujer,Local
C00581,Hombre,Local
C00582,Mujer,Local
C00583,Mujer,Local
C00584,Hombre,Local
C00585,Mujer,Local
C00586,Mujer,Local
C00588,Hombre,Local
C00590,Hombre,Local
C00591,Mujer,Local
C00594,Hombre,Local
C00595,Hombre,Local
C00597,Hombre,Local
C00601,Hombre,Local
C00602,Hombre,Local
C00603,Hombre,Local
C00605,Hombre,Local
C00606,Mujer,Turista
C00607,Hombre,Turista
C00608,Mujer,Local
C00609,Hombre,Local
C00611,Hombre,Local
C00614,Hombre,Local
C00616,Hombre,Local
C00617,Hombre,Local
C00618,Hombre,Local
C00619,Hombre,Local
C00620,Hombre,Local
C00621,Hombre,Local
C00622,Mujer,Local
C00625,Mujer,Local
C00627,Mujer,Local
C00628,Hombre,Local
C00630,Mujer,Local
C00631,Mujer,Local
C00632,Mujer,Local
C00633,Mujer,Local
C00635,Mujer,Local
C00636,Mujer,Local
C00637,Hombre,Local
C00638,Hombre,Local
C00639,Hombre,Local
C00640,Hombre,Local
C00642,Hombre,Local
C00645,Mujer,Local
C00646,Hombre,Local
C00648,Mujer,Local
C00649,Mujer,Local
C00650,Mujer,Turista
C00651,Mujer,Local
C00653,Hombre,Local
C00654,Hombre,Local
C00655,Hombre,Local
C00657,Hombre,Local
C00658,Mujer,Local
C00661,Mujer,Turista
C00662,Hombre,Local
C00664,Hombre,Local
C00665,Mujer,Local
C00667,Hombre,Local
C00668,Hombre,Local
C00669,Hombre,Local
C00671,Hombre,Local
C00674,Mujer,Local
C00677,Mujer,Local
C00678,Mujer,Local
C00679,Hombre,Local
C00681,Mujer,Local
C00682,Hombre,Local
C00683,Mujer,Turista
C00684,Hombre,Turista
C00689,Hombre,Local
C00690,Hombre,Local
C00691,Mujer,Local
C00692,Mujer,Local
C00694,Mujer,Local
C00695,Hombre,Local
C00696,Mujer,Local
C00698,Mujer,Local
C00700,Hombre,Local
C00701,Hombre,Local
C00703,Mujer,Local
C00704,Hombre,Local
C00705,Hombre,Local
C00706,Hombre,Turista
C00707,Hombre,Local
C00708,Hombre,Local
C00710,Hombre,Local
C00712,Hombre,Local
C00714,Hombre,Local
C00715,Mujer,Local
C00716,Hombre,Local
C00717,Hombre,Local
C00718,Mujer,Local
C00719,Hombre,Local
C00720,Hombre,Turista
C00721,Hombre,Local
C00722,Hombre,Local
C00723,Hombre,Turista
C00725,Hombre,Local
C00726,Hombre,Local
C00727,Hombre,Local
C00729,Mujer,Local
C00730,Mujer,Turista
C00731,Hombre,Local
C00732,Hombre,Turista
C00733,Mujer,Local
C00734,Hombre,Local
C00735,Hombre,Local
C00736,Mujer,Local
C00739,Hombre,Local
C00740,Mujer,Local
C00741,Hombre,Local
C00742,Mujer,Local
C00744,Hombre,Local
C00745,Hombre,Local
C00746,Hombre,Local
C00748,Hombre,Local
C00749,Mujer,Local
C00750,Mujer,Local
C00753,Mujer,Local
C00754,Hombre,Local
C00756,Mujer,Local
C00759,Hombre,Local
C00762,Hombre,Local
C00763,Mujer,Local
C00764,Mujer,Local
C00765,Mujer,Local
C00766,Mujer,Local
C00768,Hombre,Local
C00772,Hombre,Local
C00773,Mujer,Local
C00775,Hombre,Local
C00777,Hombre,Local
C00779,Mujer,Local
C00780,Mujer,Local
C00781,Hombre,Turista
C00782,Hombre,Local
C00784,Mujer,Local
C00786,Hombre,Local
C00788,Mujer,Local
C00789,Hombre,Local
C00790,Hombre,Local
C00793,Mujer,Local
C00795,Hombre,Local
C00797,Mujer,Turista
C00799,Hombre,Turista
C00802,Hombre,Turista
C00803,Mujer,Turista
C00804,Hombre,Local
C00805,Hombre,Local
C00806,Hombre,Local
C00807,Mujer,Local
C00808,Hombre,Turista
C00809,Mujer,Turista
C00810,Mujer,Turista
C00811,Mujer,Turista
C00812,Mujer,Local
C00813,Mujer,Turista
C00814,Hombre,Turista
C00815,Mujer,Local
C00816,Mujer,Turista
C00818,Mujer,Local
C00819,Hombre,Local
C00820,Hombre,Local
C00821,Mujer,Turista
C00822,Hombre,Local
C00823,Hombre,Local
C00824,Mujer,Local
C00825,Mujer,Local
C00826,Hombre,Turista
C00827,Mujer,Local
C00828,Hombre,Local
C00830,Mujer,Local
C00832,Mujer,Local
C00835,Hombre,Turista
C00836,Hombre,Local
C00837,Hombre,Local
C00839,Mujer,Local
C00840,Hombre,Local
C00841,Hombre,Local
C00842,Mujer,Local
C00844,Mujer,Turista
C00845,Mujer,Local
C00847,Mujer,Local
C00849,Hombre,Local
C00850,Hombre,Local
C00851,Hombre,Local
C00852,Mujer,Local
C00854,Mujer,Local
C00855,Mujer,Local
C00856,Mujer,Local
C00857,Mujer,Local
C00862,Hombre,Local
C00863,Hombre,Local
C00864,Mujer,Local
C00866,Hombre,Local
C00867,Hombre,Local
C00868,Mujer,Turista
C00869,Hombre,Turista
C00870,Hombre,Local
C00871,Hombre,Turista
C00873,Mujer,Local
C00875,Hombre,Local
C00877,Hombre,Local
C00878,Hombre,Turista
C00879,Hombre,Local
C00880,Hombre,Local
C00882,Hombre,Local
C00883,Mujer,Local
C00884,Hombre,Local
C00888,Hombre,Local
C00889,Mujer,Local
C00890,Hombre,Local
C00891,Mujer,Turista
C00892,Hombre,Turista
C00893,Hombre,Turista
C00894,Mujer,Local
C00896,Hombre,Local
C00897,Mujer,Local
C00899,Hombre,Local
C00900,Hombre,Local
C00903,Mujer,Local
C00904,Hombre,Local
C00905,Hombre,Turista
C00906,Mujer,Local
C00907,Mujer,Local
C00908,Mujer,Local
C00909,Hombre,Local
C00910,Mujer,Local
C00911,Hombre,Local
C00912,Hombre,Local
C00913,Hombre,Local
C00915,Mujer,Turista
C00916,Hombre,Local
C00917,Hombre,Local
C00918,Hombre,Turista
C00920,Hombre,Local
C00921,Hombre,Local
C00922,Hombre,Turista
C00923,Hombre,Local
C00924,Mujer,Local
C00925,Hombre,Local
C00927,Hombre,Local
C00928,Mujer,Turista
C00929,Hombre,Local
C00930,Mujer,Local
C00931,Mujer,Local
C00932,Hombre,Local
C00934,Hombre,Local
C00935,Hombre,Local
C00937,Mujer,Local
C00938,Hombre,Local
C00939,Hombre,Local
C00940,Hombre,Local
C00942,Hombre,Local
C00943,Mujer,Local
C00944,Mujer,Turista
C00946,Hombre,Local
C00947,Mujer,Local
C00949,Mujer,Local
C00950,Hombre,Local
C00951,Hombre,Local
C00952,Hombre,Local
C00953,Hombre,Local
C00954,Hombre,Local
C00956,Hombre,Turista
C00957,Hombre,Local
C00958,Hombre,Local
C00959,Hombre,Turista
C00960,Hombre,Local
C00961,Hombre,Local
C00963,Hombre,Local
C00964,Hombre,Local
C00965,Mujer,Local
C00966,Hombre,Local
C00968,Hombre,Turista
C00969,Hombre,Local
C00970,Mujer,Local
C00971,Mujer,Turista
C00972,Hombre,Local
C00973,Mujer,Local
C00974,Mujer,Turista
C00975,Hombre,Turista
C00976,Hombre,Local
C00977,Hombre,Local
C00982,Hombre,Local
C00983,Hombre,Local
C00985,Mujer,Local
C00986,Mujer,Local
C00987,Mujer,Local
C00988,Hombre,Local
C00990,Hombre,Local
C00991,Mujer,Local
C00993,Hombre,Local
C00995,Mujer,Turista
C00996,Hombre,Local
C00997,Hombre,Local
C00998,Hombre,Local
C00999,Mujer,Turista
C01000,Hombre,Turista
C01004,Mujer,Local
C01005,Mujer,Local
C01006,Mujer,Local
C01007,Hombre,Local
C01009,Mujer,Local
C01010,Mujer,Local
C01011,Hombre,Turista
C01012,Mujer,Local
C01015,Hombre,Local
C01016,Mujer,Local
C01017,Hombre,Local
C01019,Hombre,Local
C01020,Mujer,Local
C01022,Hombre,Turista
C01023,Hombre,Local
C01026,Hombre,Local
C01027,Mujer,Turista
C01028,Hombre,Turista
C01029,Hombre,Local
C01031,Hombre,Local
C01032,Hombre,Local
C01033,Mujer,Local
C01034,Hombre,Local
C01035,Hombre,Local
C01036,Mujer,Local
C01037,Hombre,Local
C01039,Hombre,Local
C01040,Hombre,Local
C01041,Mujer,Local
C01042,Hombre,Local
C01043,Mujer,Local
C01044,Hombre,Local
C01045,Mujer,Local
C01046,Hombre,Local
C01047,Hombre,Local
C01048,Hombre,Local
C01049,Mujer,Turista
C01050,Hombre,Local
C01052,Hombre,Local
C01053,Hombre,Local
C01054,Hombre,Local
C01055,Hombre,Turista
C01056,Mujer,Local
C01057,Hombre,Local
C01058,Mujer,Local
C01062,Hombre,Local
C01063,Mujer,Turista
C01064,Hombre,Local
C01065,Hombre,Local
C01066,Mujer,Local
C01068,Mujer,Turista
C01069,Hombre,Local
C01070,Hombre,Local
C01073,Hombre,Local
C01074,Mujer,Local
C01076,Hombre,Local
C01078,Hombre,Local
C01079,Hombre,Local
C01080,Hombre,Local
C01081,Mujer,Local
C01083,Hombre,Local
C01086,Mujer,Local
C01087,Hombre,Turista
C01088,Mujer,Turista
C01090,Hombre,Local
C01096,Hombre,Local
C01097,Hombre,Local
C01098,Hombre,Local
C01099,Mujer,Local
C01100,Hombre,Local
C01101,Mujer,Local
C01103,Hombre,Local
C01104,Hombre,Local
C01105,Mujer,Local
C01106,Hombre,Local
C01107,Mujer,Local
C01110,Hombre,Turista
C01111,Mujer,Local
C01112,Mujer,Local
C01113,Mujer,Local
C01114,Mujer,Local
C01116,Mujer,Local
C01117,Hombre,Local
C01118,Mujer,Local
C01119,Mujer,Local
C01121,Hombre,Local
C01122,Hombre,Local
C01123,Mujer,Local
C01125,Mujer,Local
C01126,Mujer,Local
C01128,Hombre,Turista
C01130,Hombre,Local
C01131,Hombre,Local
C01132,Hombre,Local
C01133,Hombre,Local
C01135,Mujer,Local
C01136,Mujer,Local
C01137,Hombre,Local
C01138,Hombre,Local
C01140,Mujer,Local
C01142,Hombre,Local
C01143,Hombre,Local
C01144,Hombre,Local
C01146,Hombre,Local
C01147,Mujer,Local
C01149,Mujer,Turista
C01150,Hombre,Local
C01151,Hombre,Local
C01152,Hombre,Local
C01153,Mujer,Local
C01154,Mujer,Turista
C01155,Hombre,Local
C01156,Hombre,Local
C01157,Hombre,Local
C01158,Hombre,Local
C01160,Mujer,Local
C01162,Hombre,Local
C01164,Mujer,Local
C01165,Hombre,Local
C01166,Hombre,Turista
C01167,Mujer,Turista
C01168,Hombre,Local
C01169,Hombre,Local
C01170,Hombre,Local
C01171,Hombre,Local
C01172,Hombre,Local
C01174,Mujer,Local
C01175,Mujer,Local
C01177,Hombre,Local
C01178,Hombre,Local
C01179,Mujer,Local
C01180,Hombre,Local
C01181,Hombre,Local
C01182,Mujer,Local
C01183,Hombre,Local
C01184,Hombre,Local
C01185,Hombre,Turista
C01186,Mujer,Local
C01187,Mujer,Local
C01188,Hombre,Local
C01190,Hombre,Local
C01191,Mujer,Local
C01192,Mujer,Local
C01193,Hombre,Local
C01194,Hombre,Local
C01197,Mujer,Local
C01198,Hombre,Local
C01199,Mujer,Local
C01200,Mujer,Local
C01201,Hombre,Local
C01202,Hombre,Local
C01203,Hombre,Local
C01204,Hombre,Local
C01207,Hombre,Local
C01208,Hombre,Local
C01209,Hombre,Local
C01211,Hombre,Local
C01212,Mujer,Local
C01214,Hombre,Local
C01215,Mujer,Local
C01216,Hombre,Turista
C01217,Mujer,Local
C01218,Mujer,Turista
C01220,Hombre,Local
C01221,Hombre,Local
C01222,Mujer,Local
C01224,Mujer,Local
C01225,Hombre,Turista
C01226,Mujer,Local
C01228,Hombre,Local
C01229,Hombre,Local
C01231,Mujer,Local
C01232,Hombre,Turista
C01233,Hombre,Local
C01234,Hombre,Local
C01235,Hombre,Local
C01236,Hombre,Local
C01237,Mujer,Local
C01238,Hombre,Local
C01240,Hombre,Local
C01241,Hombre,Local
C01242,Hombre,Local
C01243,Hombre,Local
C01244,Hombre,Turista
C01245,Mujer,Local
C01246,Hombre,Local
C01247,Hombre,Local
C01248,Hombre,Local
C01252,Mujer,Turista
C01253,Hombre,Local
C01254,Mujer,Local
C01256,Hombre,Turista
C01257,Hombre,Local
C01258,Hombre,Turista
C01259,Mujer,Local
C01261,Mujer,Local
C01263,Mujer,Local
C01264,Hombre,Local
C01265,Mujer,Local
C01266,Hombre,Local
C01269,Hombre,Local
C01271,Hombre,Local
C01272,Hombre,Local
C01275,Hombre,Local
C01278,Mujer,Local
C01279,Hombre,Local
C01281,Hombre,Local
C01282,Hombre,Local
C01283,Mujer,Local
C01284,Hombre,Turista
C01285,Mujer,Local
C01286,Hombre,Local
C01289,Hombre,Local
C01290,Hombre,Local
C01291,Hombre,Local
C01292,Mujer,Turista
C01293,Mujer,Local
C01294,Hombre,Local
C01295,Mujer,Local
C01296,Mujer,Local
C01298,Hombre,Turista
C01299,Hombre,Turista
C01300,Mujer,Local
C01302,Hombre,Local
C01304,Mujer,Local
C01305,Mujer,Local
C01306,Hombre,Local
C01307,Hombre,Local
C01309,Hombre,Local
C01310,Hombre,Local
C01311,Hombre,Turista
C01312,Hombre,Local
C01313,Hombre,Local
C01314,Hombre,Local
C01315,Mujer,Local
C01316,Mujer,Turista
C01317,Mujer,Local
C01318,Mujer,Turista
C01319,Hombre,Local
C01320,Hombre,Local
C01321,Mujer,Local
C01322,Hombre,Local
C01323,Mujer,Local
C01324,Hombre,Local
C01325,Mujer,Local
C01326,Hombre,Local
C01327,Mujer,Turista
C01328,Hombre,Local
C01330,Hombre,Local
C01332,Hombre,Local
C01333,Hombre,Turista
C01335,Hombre,Local
C01336,Hombre,Turista
C01338,Hombre,Local
C01339,Mujer,Local
C01340,Hombre,Local
C01341,Hombre,Local
C01342,Hombre,Local
C01344,Hombre,Local
C01345,Hombre,Local
C01346,Hombre,Turista
C01348,Hombre,Local
C01352,Hombre,Turista
C01353,Mujer,Local
C01354,Mujer,Local
C01356,Mujer,Local
C01357,Mujer,Local
C01358,Mujer,Local
C01360,Hombre,Local
C01363,Hombre,Local
C01364,Hombre,Local
C01365,Hombre,Local
C01366,Hombre,Local
C01368,Mujer,Local
C01372,Hombre,Local
C01374,Hombre,Turista
C01375,Hombre,Local
C01376,Hombre,Local
C01377,Mujer,Local
C01378,Hombre,Local
C01379,Hombre,Local
C01380,Mujer,Local
C01381,Mujer,Local
C01383,Hombre,Turista
C01384,Mujer,Turista
C01385,Hombre,Local
C01386,Hombre,Local
C01387,Hombre,Turista
C01389,Hombre,Local
C01390,Mujer,Local
C01391,Hombre,Local
C01392,Hombre,Local
C01393,Hombre,Turista
C01394,Hombre,Local
C01395,Hombre,Local
C01396,Hombre,Local
C01397,Hombre,Local
C01398,Hombre,Local
C01399,Mujer,Local
C01400,Hombre,Local
C01401,Hombre,Local
C01402,Mujer,Local
C01403,Hombre,Local
C01404,Mujer,Local
C01405,Mujer,Local
C01406,Hombre,Local
C01409,Hombre,Local
C01410,Mujer,Turista
C01411,Hombre,Local
C01412,Mujer,Local
C01416,Hombre,Local
C01419,Mujer,Local
C01420,Mujer,Local
C01421,Mujer,Local
C01423,Mujer,Local
C01424,Hombre,Local
C01426,Hombre,Local
C01427,Hombre,Local
C01429,Hombre,Local
C01430,Mujer,Local
C01431,Mujer,Local
C01432,Hombre,Turista
C01437,Hombre,Local
C01438,Mujer,Local
C01441,Hombre,Local
C01442,Mujer,Local
C01444,Hombre,Turista
C01445,Hombre,Local
C01448,Hombre,Local
C01450,Hombre,Local
C01452,Mujer,Local
C01454,Hombre,Local
C01455,Hombre,Local
C01456,Mujer,Local
C01457,Hombre,Turista
C01458,Hombre,Local
C01459,Hombre,Turista
C01460,Mujer,Turista
C01461,Hombre,Local
C01462,Hombre,Local
C01463,Mujer,Local
C01464,Hombre,Local
C01465,Hombre,Local
C01468,Hombre,Local
C01469,Hombre,Local
C01470,Mujer,Local
C01471,Hombre,Local
C01474,Mujer,Local
C01476,Hombre,Local
C01478,Hombre,Local
C01479,Hombre,Local
C01480,Hombre,Local
C01481,Hombre,Local
C01482,Mujer,Local
C01484,Hombre,Local
C01485,Hombre,Local
C01486,Hombre,Local
C01489,Hombre,Local
C01490,Hombre,Turista
C01491,Hombre,Local
C01492,Hombre,Local
C01493,Hombre,Local
C01494,Hombre,Local
C01496,Hombre,Local
C01498,Mujer,Local
C01499,Hombre,Turista
C01500,Mujer,Turista
C01501,Mujer,Local
C01502,Hombre,Local
C01503,Hombre,Local
C01504,Hombre,Local
C01505,Hombre,Local
C01506,Hombre,Local
C01507,Hombre,Local
C01509,Hombre,Local
C01511,Hombre,Local
C01512,Hombre,Local
C01513,Mujer,Local
C01515,Mujer,Local
C01517,Hombre,Local
C01519,Mujer,Turista
C01520,Mujer,Local
C01521,Mujer,Local
C01522,Mujer,Turista
C01523,Hombre,Local
C01524,Mujer,Local
C01526,Mujer,Local
C01528,Mujer,Local
C01529,Hombre,Local
C01531,Mujer,Local
C01532,Mujer,Turista
C01533,Hombre,Local
C01534,Hombre,Local
C01536,Hombre,Turista
C01537,Mujer,Local
C01538,Hombre,Local
C01539,Hombre,Local
C01541,Hombre,Local
C01542,Hombre,Turista
C01544,Hombre,Local
C01546,Hombre,Turista
C01547,Mujer,Local
C01550,Hombre,Local
C01551,Hombre,Local
C01552,Hombre,Local
C01553,Hombre,Local
C01554,Mujer,Local
C01555,Hombre,Local
C01556,Mujer,Local
C01558,Hombre,Local
C01561,Mujer,Local
C01562,Mujer,Local
C01563,Mujer,Turista
