id_venta,numero_linea,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento,metodo_pago,canal,temporada,talla
V002319,2,2023-04-03,C00987,P0026,T009,1,138000.0,0.3,Transferencia,Tienda Física,Día Del Padre,M
V000470,2,2025-08-31,C00382,P0005,T035,4,118000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,Xs
V000689,2,2024-08-02,C02414,P0008,T022,1,211000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V002982,2,2024-09-07,C00161,P0018,T019,4,75000.0,0.2,Efectivo,Tienda Física,Temporada Regular,S
V003658,1,2025-10-03,C01558,P0020,T004,2,76000.0,0.2,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V000641,1,2025-01-23,C02607,P0018,T011,1,79000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V001067,1,2023-04-26,C00204,P0004,T003,4,170000.0,0.15,Tarjeta Débito,Tienda Física,Temporada Regular,34
V001973,2,2025-09-25,C01341,P0020,T031,1,79000.0,0.0,Transferencia,Tienda Física,Día Del Padre,S
V000709,1,2024-02-22,C00690,P0018,T025,1,76000.0,0.0,Transferencia,Tienda Física,Temporada Regular,M
V000888,1,2023-08-04,C02616,P0016,T037,1,145000.0,0.0,Transferencia,Tienda Física,Vacaciones,32
V000830,1,2023-02-23,C01332,P0013,T017,2,55000.0,0.0,Transferencia,Tienda Física,Temporada Regular,L
V000660,2,2025-07-26,C01811,P0008,T037,1,224000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,Xs
V003205,1,2025-04-27,C01983,P0018,T038,2,74000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,L
V000490,1,2025-01-11,C00155,P0002,T009,2,159000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V003160,3,2023-11-05,C01203,P0007,T040,1,58000.0,0.05,Tarjeta Débito,Tienda Física,Regreso A Clases,Xs
V002433,1,2024-11-04,C00328,P0009,T018,4,128000.0,0.0,Transferencia,Tienda Física,Temporada Regular,Xl
V003414,1,2023-10-27,C01193,P0002,T001,1,162000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xs
V001230,1,2025-04-15,C00233,P0023,T002,1,77000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,Xs
V002120,1,2025-08-16,C01026,P0004,T039,1,170000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,38
V002043,1,2023-12-30,C00533,P0001,T033,3,144000.0,0.1,Tarjeta Débito,Online,Día De La Madre,38
V002599,1,2024-12-10,C01570,P0001,T033,3,149000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,38
V001210,1,2024-09-24,C01170,P0011,T031,4,129000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V002731,1,2025-04-01,C01465,P0017,T014,1,151000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,M
V001872,1,2024-06-21,C00695,P0020,T004,3,76000.0,0.3,Tarjeta Débito,Tienda Física,Regreso A Clases,Xxl
V002840,1,2024-01-02,C02293,P0004,T014,4,172000.0,0.0,Efectivo,Tienda Física,Temporada Regular,34
V002487,1,2025-11-29,C00674,P0025,T034,1,138000.0,0.15,Tarjeta Débito,Tienda Física,Black Friday,S
V002655,1,2024-01-09,C02549,P0022,T012,3,197000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,M
V002075,2,2025-03-08,C00108,P0023,T029,1,77000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001773,3,2025-05-04,C02588,P0008,T030,1,209000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V002165,1,2023-12-23,C02318,P0004,T030,2,166000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,38
V001553,2,2025-09-08,C02173,P0004,T018,1,174000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,38
V003716,1,2024-08-04,C01683,P0003,T040,2,181000.0,0.1,Tarjeta Crédito,Tienda Física,Vacaciones,30
V000921,2,2025-08-02,C00261,P0017,T008,1,140000.0,0.1,Transferencia,Tienda Física,Temporada Regular,L
V000652,1,2025-12-16,C00621,P0005,T022,1,111000.0,0.2,Tarjeta Crédito,Online,Vacaciones,Xl
V002745,1,2023-07-11,C02558,P0003,T005,2,177000.0,0.05,Transferencia,Tienda Física,Temporada Regular,28
V003683,2,2025-08-03,C02372,P0002,T005,1,155000.0,0.0,Tarjeta Crédito,Tienda Física,Día De La Madre,L
V001617,3,2024-08-02,C02117,P0006,T031,1,56000.0,0.2,Efectivo,Tienda Física,Temporada Regular,L
V001230,3,2025-04-15,C00233,P0017,T002,4,149000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,Xl
V001781,3,2024-04-13,C02167,P0019,T024,2,71000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000965,1,2025-11-21,C00684,P0024,T004,2,223000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V002166,2,2023-02-02,C00291,P0015,T036,1,181000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,36
V003542,1,2025-03-23,C00427,P0002,T014,1,150000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V000695,1,2023-01-09,C02084,P0009,T035,2,129000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xs
V000068,2,2025-04-27,C01479,P0001,T004,3,143000.0,0.3,Tarjeta Débito,Online,Temporada Regular,38
V002586,1,2024-12-29,C02469,P0013,T028,3,56000.0,0.0,Transferencia,Tienda Física,Día Del Padre,M
V001184,1,2024-02-19,C00248,P0021,T032,1,125000.0,0.0,Tarjeta Crédito,Tienda Física,Día Del Padre,S
V003655,1,2025-07-26,C00597,P0025,T041,4,133000.0,0.3,Efectivo,Tienda Física,Temporada Regular,Sin Talla
V001017,1,2023-08-02,C01744,P0017,T037,4,152000.0,0.0,Efectivo,Tienda Física,Día De La Madre,S
V000346,1,2025-08-02,C01561,P0010,T004,4,91000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,28
V003214,2,2025-03-18,C01839,P0021,T023,2,121000.0,0.0,Efectivo,Tienda Física,Temporada Regular,L
V001519,1,2024-07-23,C02380,P0011,T033,3,128000.0,0.2,Transferencia,Tienda Física,Temporada Regular,S
V000015,1,2024-11-13,C01398,P0016,T017,1,134000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,34
V000717,1,2025-09-25,C02340,P0024,T027,4,223000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xs
V002392,2,2024-12-13,C01122,P0010,T021,3,91000.0,0.05,Tarjeta Débito,Tienda Física,Temporada Regular,34
V000857,1,2023-04-04,C01702,P0004,T012,1,177000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada Regular,34
V001714,1,2025-08-07,C01389,P0020,T022,3,79000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V000419,1,2025-05-17,C00816,P0001,T034,1,137000.0,0.3,Tarjeta Débito,Tienda Física,Vacaciones,36
V002033,1,2023-08-31,C00520,P0006,T020,1,58000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,Xs
V003565,2,2024-02-04,C00909,P0004,T007,1,165000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V001505,2,2023-09-17,C01375,P0010,T043,2,96000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,28
V003616,2,2023-11-02,C02686,P0009,T009,1,129000.0,0.2,Tarjeta Crédito,Tienda Física,Vacaciones,Xs
V001094,1,2024-07-15,C00401,P0014,T018,2,140000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,30
V003037,2,2024-06-12,C02626,P0021,T017,1,127000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000483,2,2025-02-26,C02141,P0004,T014,3,174000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,30
V000061,2,2024-04-13,C01727,P0007,T011,1,62000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V002944,1,2024-08-14,C01208,P0002,T009,1,148000.0,0.0,Tarjeta Débito,Tienda Física,Temporada De Diciembre,Xl
V000702,1,2023-07-01,C00198,P0002,T007,1,161000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xs
V000453,2,2025-10-11,C02497,P0001,T009,1,140000.0,0.1,Efectivo,Tienda Física,Día Del Padre,30
V003693,2,2023-09-30,C01474,P0001,T039,3,138000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,28
V001310,3,2025-10-11,C01005,P0007,T018,1,59000.0,0.3,Efectivo,Tienda Física,Temporada Regular,Xs
V000966,1,2024-01-03,C00606,P0016,T007,1,143000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,40
V003305,2,2024-08-08,C00299,P0024,T009,3,217000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V000919,1,2025-08-11,C00469,P0013,T004,1,58000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,Xxl
V003758,1,2024-05-23,C02424,P0012,T043,2,107000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,Xs
V002437,1,2024-06-21,C01380,P0020,T036,2,79000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,Xxl
V002238,1,2023-06-14,C01926,P0006,T004,1,56000.0,0.4,Tarjeta Crédito,Tienda Física,Día De La Madre,S
V001539,2,2025-02-04,C00912,P0011,T020,1,137000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V003444,1,2025-03-05,C02340,P0019,T007,1,72000.0,0.0,Tarjeta Crédito,Tienda Física,Día Del Padre,Xl
V000473,1,2023-05-22,C02269,P0014,T022,1,138000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V001996,1,2024-05-16,C01366,P0013,T025,2,55000.0,0.05,Tarjeta Débito,Tienda Física,Black Friday,Xs
V001950,1,2024-05-21,C01090,P0001,T028,4,139000.0,0.2,Tarjeta Débito,Tienda Física,Temporada Regular,30
V000440,1,2023-06-26,C02245,P0020,T006,2,77000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,L
V000776,1,2024-07-10,C02765,P0009,T030,1,126000.0,0.1,Efectivo,Tienda Física,Temporada Regular,M
V000571,1,2025-06-23,C02050,P0010,T037,1,93000.0,0.4,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V001216,1,2025-04-24,C02188,P0001,T014,2,139000.0,0.05,Efectivo,Tienda Física,Temporada Regular,34
V002744,2,2024-05-21,C02517,P0023,T029,1,77000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,L
V000624,1,2025-04-05,C01178,P0020,T035,4,78000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V000600,3,2024-01-16,C02449,P0024,T024,3,206000.0,0.1,Efectivo,Tienda Física,Vacaciones,M
V002135,2,2024-05-13,C02643,P0012,T011,4,115000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V002726,1,2025-10-26,C01455,P0023,T024,1,76000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V001147,1,2024-08-19,C00270,P0005,T040,2,116000.0,0.15,Tarjeta Débito,Online,Temporada Regular,L
V001859,1,2024-03-08,C02458,P0022,T037,4,200000.0,0.05,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V001648,1,2025-06-06,C00322,P0020,T031,1,75000.0,0.05,Tarjeta Débito,Tienda Física,Día De La Madre,L
V001155,1,2024-07-03,C00661,P0023,T004,1,76000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V001806,1,2025-06-26,C02477,P0014,T011,1,135000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,28
V003566,2,2024-06-04,C02315,P0016,T040,4,140000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,34
V000126,2,2024-06-11,C01861,P0013,T033,3,59000.0,0.0,Transferencia,Tienda Física,Black Friday,Xl
V003218,2,2023-12-18,C00557,P0024,T024,1,222000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V003210,2,2025-09-30,C00943,P0018,T004,1,75000.0,0.1,Efectivo,Tienda Física,Día De La Madre,M
V003714,2,2025-07-12,C02573,P0006,T004,1,57000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,Xxl
V001357,1,2024-05-30,C02320,P0007,T043,4,59000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V000570,1,2024-09-09,C01962,P0017,T043,4,139000.0,0.15,Tarjeta Débito,Tienda Física,Black Friday,Xl
V000771,1,2023-08-09,C01492,P0024,T010,1,213000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V000353,1,2025-12-15,C01232,P0009,T024,1,128000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,Xl
V002933,1,2023-06-21,C02224,P0018,T004,2,75000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V001432,2,2024-12-12,C02011,P0011,T039,1,138000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,M
V003425,3,2025-03-29,C00311,P0006,T004,2,54000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V000119,1,2025-07-08,C02154,P0018,T004,2,73000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,Xxl
V001657,2,2023-10-15,C00154,P0007,T038,4,59000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,M
V001240,1,2023-06-11,C01636,P0010,T004,2,92000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,38
V002793,1,2023-08-02,C00319,P0013,T004,3,59000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V001666,3,2023-07-09,C01448,P0020,T043,4,78000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V002580,2,2025-05-01,C00904,P0010,T034,1,91000.0,0.1,Efectivo,Tienda Física,Temporada Regular,30
V000452,2,2023-05-13,C02057,P0016,T004,1,144000.0,0.05,Tarjeta Crédito,Online,Temporada Regular,28
V000927,1,2024-09-11,C01264,P0017,T039,2,148000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V001853,1,2023-07-06,C01708,P0004,T009,2,168000.0,0.15,Tarjeta Débito,Tienda Física,Temporada Regular,40
V000302,1,2025-01-19,C02635,P0005,T009,1,111000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V002796,1,2025-04-18,C00408,P0014,T017,4,145000.0,0.1,Tarjeta Crédito,Tienda Física,Día De La Madre,34
V000330,1,2025-07-10,C01026,P0018,T013,2,76000.0,0.0,Transferencia,Tienda Física,Black Friday,Xxl
V002352,1,2023-09-03,C01344,P0021,T032,4,126000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V000815,1,2023-05-09,C02177,P0012,T020,1,111000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xs
V001851,2,2024-12-11,C01746,P0011,T015,1,139000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V000057,1,2024-08-07,C02111,P0013,T039,4,57000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V002880,1,2024-11-11,C00628,P0001,T039,2,140000.0,0.0,Efectivo,Tienda Física,Temporada Regular,32
V002159,1,2023-10-14,C00236,P0005,T016,1,114000.0,0.15,Efectivo,Tienda Física,Temporada Regular,L
